Delta_T_C,Rload_ohm,Material,Seebeck_V_per_K
121.68,3.51,Skutterudite,0.0002
175.9,19.01,PbTe,0.00018
112.5,19.52,PbTe,0.00018
187.5,14.89,Skutterudite,0.0002
165.77,8.37,PbTe,0.00018
159.29,11.7,PbTe,0.00018
164.05,2.85,Bi2Te3,0.00022
272.24,17.46,Skutterudite,0.0002
202.98,15.32,PbTe,0.00018
65.53,18.8,Skutterudite,0.0002
179.17,3.75,Skutterudite,0.0002
220.69,7.15,Bi2Te3,0.00022
178.15,14.01,Bi2Te3,0.00022
205.65,3.92,Bi2Te3,0.00022
71.22,8.09,PbTe,0.00018
160.69,12.12,Skutterudite,0.0002
298.22,12.64,PbTe,0.00018
66.75,9.63,PbTe,0.00018
250.95,10.88,Skutterudite,0.0002
162.55,10.53,PbTe,0.00018
208.43,15.11,Bi2Te3,0.00022
61.66,11.61,Bi2Te3,0.00022
148.88,13.11,Bi2Te3,0.00022
151.69,3.68,Bi2Te3,0.00022
280.04,4.82,Bi2Te3,0.00022
192.8,4.32,Skutterudite,0.0002
141.76,1.5,Bi2Te3,0.00022
158.18,12.5,Skutterudite,0.0002
172.33,5.54,PbTe,0.00018
130.79,17.7,Bi2Te3,0.00022
104.36,4.38,Bi2Te3,0.00022
125.9,2.08,Skutterudite,0.0002
108.84,17.67,Bi2Te3,0.00022
165.95,1.83,Bi2Te3,0.00022
121.24,16.99,Skutterudite,0.0002
258.01,2.47,Skutterudite,0.0002
86.95,8.81,Skutterudite,0.0002
62.28,18.85,PbTe,0.00018
240.14,11.99,Bi2Te3,0.00022
222.05,14.95,PbTe,0.00018
151.51,9.49,Bi2Te3,0.00022
70.49,12.61,PbTe,0.00018
231.51,15.03,Skutterudite,0.0002
141.13,6,Skutterudite,0.0002
157.28,14.59,Skutterudite,0.0002
198.39,12.35,PbTe,0.00018
138.57,7.08,Skutterudite,0.0002
240.19,16.05,PbTe,0.00018
69.25,1.74,PbTe,0.00018
258.04,12.54,Bi2Te3,0.00022
245.79,16.9,PbTe,0.00018
223.78,2.91,Bi2Te3,0.00022
234.66,17.91,Skutterudite,0.0002
153.43,9.8,Bi2Te3,0.00022
255.11,2.86,PbTe,0.00018
209.23,7.13,PbTe,0.00018
96.98,9.28,Bi2Te3,0.00022
122.12,1.31,Skutterudite,0.0002
293.27,9.94,Bi2Te3,0.00022
185.23,5.32,Skutterudite,0.0002
88.06,16.72,Bi2Te3,0.00022
223.1,18.4,Skutterudite,0.0002
121.86,10.17,PbTe,0.00018
195.77,1.03,Skutterudite,0.0002
150.1,11.11,PbTe,0.00018
244.35,13.51,Skutterudite,0.0002
250.18,13.19,Skutterudite,0.0002
172.34,7.5,PbTe,0.00018
128.81,1.79,PbTe,0.00018
166.68,9.63,Bi2Te3,0.00022
257.7,4.36,Bi2Te3,0.00022
96.8,9.05,Skutterudite,0.0002
201.86,2.51,Skutterudite,0.0002
289.46,5.85,Bi2Te3,0.00022
92.72,6.05,PbTe,0.00018
285.8,6.22,PbTe,0.00018
102.24,11.82,Skutterudite,0.0002
231.92,3.47,Skutterudite,0.0002
134.56,13.53,Skutterudite,0.0002
161.43,6.57,Skutterudite,0.0002
166.49,3.72,Bi2Te3,0.00022
177.89,14.94,PbTe,0.00018
251.68,15.01,Skutterudite,0.0002
199.76,9.02,PbTe,0.00018
137.36,15.94,Bi2Te3,0.00022
292.04,6.8,PbTe,0.00018
126.22,6.43,Skutterudite,0.0002
147.59,17.7,Skutterudite,0.0002
281.64,16.76,Bi2Te3,0.00022
56.29,14.04,PbTe,0.00018
119.88,13.95,Skutterudite,0.0002
183.49,3.53,Skutterudite,0.0002
83.07,2.36,Skutterudite,0.0002
181.98,8.91,Bi2Te3,0.00022
143.86,19.6,PbTe,0.00018
86.26,14.33,Skutterudite,0.0002
152.44,12.84,PbTe,0.00018
258.45,5.75,Bi2Te3,0.00022
114.02,11.8,PbTe,0.00018
220.08,9.57,PbTe,0.00018
71.31,14.58,PbTe,0.00018
110.21,13.74,Bi2Te3,0.00022
212.24,9.22,PbTe,0.00018
144.82,15.72,PbTe,0.00018
88.69,3.36,Bi2Te3,0.00022
285.2,14.1,Skutterudite,0.0002
262.77,2.79,Skutterudite,0.0002
78.73,15.77,Bi2Te3,0.00022
83.54,6.05,Skutterudite,0.0002
209.01,16.68,PbTe,0.00018
234.99,4.57,PbTe,0.00018
207.74,7.2,Bi2Te3,0.00022
207.7,10.21,Bi2Te3,0.00022
284.21,13.34,PbTe,0.00018
256.15,9.19,Bi2Te3,0.00022
215.06,5.28,PbTe,0.00018
268.12,11.67,PbTe,0.00018
177.75,14.87,Bi2Te3,0.00022
83.68,8.32,Bi2Te3,0.00022
149.12,13.91,PbTe,0.00018
255.66,3.77,Bi2Te3,0.00022
291.78,7.89,Skutterudite,0.0002
158.12,18.75,Skutterudite,0.0002
55.31,1.7,Skutterudite,0.0002
297.58,18.23,Skutterudite,0.0002
153.43,10.5,Skutterudite,0.0002
89.32,13.79,Bi2Te3,0.00022
245.37,19.39,Bi2Te3,0.00022
103.15,19.73,PbTe,0.00018
202.42,15.07,Skutterudite,0.0002
65.9,17.72,PbTe,0.00018
123.28,15.71,PbTe,0.00018
172.2,14.78,Skutterudite,0.0002
219.54,16.79,Bi2Te3,0.00022
110.84,11.8,PbTe,0.00018
250.42,15.44,Skutterudite,0.0002
237.14,6.71,Bi2Te3,0.00022
157.28,10.13,Bi2Te3,0.00022
97.97,9.9,Skutterudite,0.0002
276.96,7.45,Bi2Te3,0.00022
274.08,12.37,PbTe,0.00018
264.94,13.96,PbTe,0.00018
77.35,4.21,PbTe,0.00018
67.4,7.62,Bi2Te3,0.00022
128.16,17.01,Bi2Te3,0.00022
53.74,18.52,Skutterudite,0.0002
56.25,8.48,Bi2Te3,0.00022
134.29,12.2,PbTe,0.00018
269.24,19.65,Bi2Te3,0.00022
145.82,9.28,PbTe,0.00018
219.52,6.61,Skutterudite,0.0002
159.68,12.74,Bi2Te3,0.00022
272.03,7.36,PbTe,0.00018
262.29,18.82,Skutterudite,0.0002
205.16,19.48,PbTe,0.00018
209.54,2.9,PbTe,0.00018
76.59,16.01,PbTe,0.00018
77.54,19.68,PbTe,0.00018
202.42,11.05,PbTe,0.00018
91.85,3.97,Skutterudite,0.0002
169.47,12.26,Bi2Te3,0.00022
227.11,19.83,Skutterudite,0.0002
273.38,9.25,Skutterudite,0.0002
100.28,9.85,Skutterudite,0.0002
97.18,6.69,PbTe,0.00018
82.46,1.38,Skutterudite,0.0002
277.24,18.45,Skutterudite,0.0002
236.68,11.83,Skutterudite,0.0002
269.68,3.54,PbTe,0.00018
70.5,1.33,PbTe,0.00018
184.87,4.49,Bi2Te3,0.00022
258.38,10.64,PbTe,0.00018
212.3,3.31,PbTe,0.00018
159.99,10.29,PbTe,0.00018
164.15,14.48,PbTe,0.00018
125.85,10.39,PbTe,0.00018
287.97,4.3,PbTe,0.00018
215.38,9.86,PbTe,0.00018
120.46,16.04,Skutterudite,0.0002
221.21,12.21,Bi2Te3,0.00022
253.01,8.89,Bi2Te3,0.00022
202.83,12.86,Skutterudite,0.0002
204.69,10.68,Bi2Te3,0.00022
287.76,14.44,Bi2Te3,0.00022
271.18,11.24,Bi2Te3,0.00022
185.91,2.06,Skutterudite,0.0002
233.98,19.35,Bi2Te3,0.00022
134.75,4.04,Bi2Te3,0.00022
144.61,5.61,Skutterudite,0.0002
282.82,15.25,PbTe,0.00018
235.29,5.45,Bi2Te3,0.00022
206.02,8.2,Skutterudite,0.0002
176.28,8.23,Skutterudite,0.0002
179.37,18.39,Bi2Te3,0.00022
57.63,14.71,Skutterudite,0.0002
259.68,4.92,Bi2Te3,0.00022
234.76,9.5,Skutterudite,0.0002
117.01,16.77,Skutterudite,0.0002
276.71,8.21,Skutterudite,0.0002
158.75,7.36,Bi2Te3,0.00022
113.99,18.32,Skutterudite,0.0002
84.94,7.23,PbTe,0.00018
153.62,10.66,Skutterudite,0.0002
262.27,12.3,PbTe,0.00018
275.19,12.19,Bi2Te3,0.00022
294.34,15.94,Skutterudite,0.0002
175.76,10.27,Bi2Te3,0.00022
85.89,10.98,PbTe,0.00018
265.36,11.98,Skutterudite,0.0002
237.76,10.22,Skutterudite,0.0002
260.24,17.54,PbTe,0.00018
159.36,11.08,PbTe,0.00018
86.05,13.9,PbTe,0.00018
270.26,9.99,Bi2Te3,0.00022
299.39,2.98,PbTe,0.00018
54.53,7.88,Skutterudite,0.0002
292.57,19.81,Skutterudite,0.0002
108.7,13.44,Skutterudite,0.0002
157.35,3.1,Skutterudite,0.0002
145.81,1.11,Bi2Te3,0.00022
163.41,11.26,Bi2Te3,0.00022
65.57,18.94,Bi2Te3,0.00022
110.86,15.39,PbTe,0.00018
245.62,17.42,PbTe,0.00018
299.83,10.64,PbTe,0.00018
136.99,3.27,Bi2Te3,0.00022
81.29,11.7,Bi2Te3,0.00022
96.93,8.92,Skutterudite,0.0002
181.31,8.66,Bi2Te3,0.00022
129.73,5.36,Skutterudite,0.0002
219.17,18.14,Bi2Te3,0.00022
135.76,19.86,Skutterudite,0.0002
87.62,13.35,PbTe,0.00018
279.62,8.08,PbTe,0.00018
130.48,14.4,Skutterudite,0.0002
201.99,2.27,Bi2Te3,0.00022
290.01,5.71,Bi2Te3,0.00022
131.67,7.98,PbTe,0.00018
59.06,14.44,Skutterudite,0.0002
86.72,1.06,Bi2Te3,0.00022
156.05,1.89,Skutterudite,0.0002
184.01,8.99,Skutterudite,0.0002
163.77,17.92,Bi2Te3,0.00022
185.13,10.51,Skutterudite,0.0002
182.25,18.16,PbTe,0.00018
125.33,3.73,Skutterudite,0.0002
243.49,13.96,PbTe,0.00018
91.43,9.94,Skutterudite,0.0002
94.02,1.78,Skutterudite,0.0002
57.54,3.87,Bi2Te3,0.00022
186.14,5.15,Skutterudite,0.0002
187.79,18.4,PbTe,0.00018
146.26,4.03,Bi2Te3,0.00022
280.13,10.8,PbTe,0.00018
145.22,6.68,PbTe,0.00018
173.46,7.85,Skutterudite,0.0002
208.4,12.53,Skutterudite,0.0002
97.39,1.85,Bi2Te3,0.00022
137.72,11.87,Bi2Te3,0.00022
169.29,15.15,PbTe,0.00018
83.77,7.33,Bi2Te3,0.00022
65.5,2.36,Bi2Te3,0.00022
270.64,17.72,PbTe,0.00018
270.4,6.33,Bi2Te3,0.00022
55.06,2.28,PbTe,0.00018
244.64,8.33,PbTe,0.00018
203.07,10.85,Skutterudite,0.0002
84.79,9.98,PbTe,0.00018
77.08,1.22,PbTe,0.00018
283.99,10.36,PbTe,0.00018
290.51,16.03,PbTe,0.00018
89.33,14.14,Bi2Te3,0.00022
227.99,9.65,PbTe,0.00018
159.17,15.16,Skutterudite,0.0002
76.3,8.48,Bi2Te3,0.00022
261.83,11.17,Skutterudite,0.0002
214.87,17.14,Skutterudite,0.0002
224.08,10.98,PbTe,0.00018
210.52,8.46,Skutterudite,0.0002
188.03,11.58,Bi2Te3,0.00022
111.58,11.88,PbTe,0.00018
156.58,2.03,Skutterudite,0.0002
159.74,13.58,Bi2Te3,0.00022
233.09,17.25,PbTe,0.00018
198.36,15.82,PbTe,0.00018
190.36,4.48,PbTe,0.00018
109.77,10.54,PbTe,0.00018
93.28,12.57,Skutterudite,0.0002
290.66,10.78,PbTe,0.00018
292.43,11.48,Skutterudite,0.0002
286.5,3.18,Skutterudite,0.0002
94.29,6.3,Bi2Te3,0.00022
227.88,9.74,Skutterudite,0.0002
299.1,10.69,Skutterudite,0.0002
292.2,10.77,PbTe,0.00018
215.22,15.8,Skutterudite,0.0002
150.31,2.51,Skutterudite,0.0002
245.98,11.09,Skutterudite,0.0002
265.6,9.17,PbTe,0.00018
84.88,1.56,Bi2Te3,0.00022
124.09,10.83,Bi2Te3,0.00022
56.94,13.74,PbTe,0.00018
211.54,16.1,Bi2Te3,0.00022
77.26,2.02,Bi2Te3,0.00022
63.77,13,Bi2Te3,0.00022
218.02,10.98,PbTe,0.00018
294.7,15.2,PbTe,0.00018
190.35,16.83,Bi2Te3,0.00022
102.7,11.39,Skutterudite,0.0002
269.64,9.31,PbTe,0.00018
182.63,14.86,Bi2Te3,0.00022
281.84,19.49,PbTe,0.00018
218.32,11.96,PbTe,0.00018
248.05,1.64,PbTe,0.00018
290.53,13.46,PbTe,0.00018
151.98,1.16,Skutterudite,0.0002
78.04,18.01,Skutterudite,0.0002
260.92,15.55,Skutterudite,0.0002
254.75,10.43,PbTe,0.00018
172.49,7.16,Skutterudite,0.0002
279.83,16.21,Bi2Te3,0.00022
142.72,18.4,Bi2Te3,0.00022
287.74,5.82,Skutterudite,0.0002
217.8,3.17,Bi2Te3,0.00022
260.92,7.13,Bi2Te3,0.00022
187.75,5.43,Bi2Te3,0.00022
161.08,9.2,Bi2Te3,0.00022
200.4,7.72,Skutterudite,0.0002
158.24,13.15,PbTe,0.00018
293.9,2.16,Skutterudite,0.0002
180.5,1.87,Bi2Te3,0.00022
150.37,5.96,Bi2Te3,0.00022
196.5,9.49,Bi2Te3,0.00022
96.08,14.26,Skutterudite,0.0002
145.85,9.71,Skutterudite,0.0002
152.98,8.31,Bi2Te3,0.00022
246.49,3.56,PbTe,0.00018
136.83,19.38,Skutterudite,0.0002
110.08,18.5,Bi2Te3,0.00022
131.52,14.04,Bi2Te3,0.00022
271.83,12.89,PbTe,0.00018
227.33,6.91,PbTe,0.00018
189.39,4.58,Skutterudite,0.0002
133.62,2.89,PbTe,0.00018
150.66,18.52,PbTe,0.00018
129.23,9.77,PbTe,0.00018
239.23,12.62,PbTe,0.00018
275.09,10.86,Bi2Te3,0.00022
212.48,6.16,Skutterudite,0.0002
99.7,18.91,PbTe,0.00018
199.14,7.57,PbTe,0.00018
264.9,15.84,Skutterudite,0.0002
51.78,10.22,PbTe,0.00018
195.81,5.22,Skutterudite,0.0002
151.97,8.96,PbTe,0.00018
129.73,15.52,PbTe,0.00018
167.06,15.64,PbTe,0.00018
163.94,16.51,Bi2Te3,0.00022
91.92,16.26,PbTe,0.00018
150.87,13.94,Bi2Te3,0.00022
224.06,18.6,PbTe,0.00018
139.95,18.86,PbTe,0.00018
197.54,10.9,PbTe,0.00018
136.41,2.02,Skutterudite,0.0002
80.43,11.65,Bi2Te3,0.00022
207.39,5.65,PbTe,0.00018
236.89,12.82,PbTe,0.00018
123.14,6.06,Bi2Te3,0.00022
210.69,3.51,Skutterudite,0.0002
168.22,8.58,Bi2Te3,0.00022
147.69,10.01,Bi2Te3,0.00022
291.07,6.4,Bi2Te3,0.00022
189.25,8.07,PbTe,0.00018
270.71,15.77,Skutterudite,0.0002
97.63,15.21,Skutterudite,0.0002
144.41,18.5,Skutterudite,0.0002
284.13,2.42,PbTe,0.00018
89.87,13.82,Skutterudite,0.0002
155.11,16.98,PbTe,0.00018
98.1,7.74,Skutterudite,0.0002
164.54,11.34,Bi2Te3,0.00022
119.72,9.74,PbTe,0.00018
56.35,14.93,PbTe,0.00018
59.44,1.7,Bi2Te3,0.00022
58.29,6.11,PbTe,0.00018
122.47,7.8,Bi2Te3,0.00022
164.42,8.74,Bi2Te3,0.00022
150.65,3.61,Bi2Te3,0.00022
280.8,19.9,Skutterudite,0.0002
270.86,19.81,Bi2Te3,0.00022
255.83,19.36,PbTe,0.00018
211.94,5,PbTe,0.00018
192.3,3.34,Bi2Te3,0.00022
74.62,3.24,PbTe,0.00018
252.83,9.21,Bi2Te3,0.00022
204.78,4.34,PbTe,0.00018
231.58,7.11,Skutterudite,0.0002
165.31,8.4,Bi2Te3,0.00022
73.62,1.91,Skutterudite,0.0002
71.52,8.83,Bi2Te3,0.00022
246.95,1.97,PbTe,0.00018
65.43,13.52,Bi2Te3,0.00022
160.82,14.75,Skutterudite,0.0002
77.17,3.44,Bi2Te3,0.00022
170.53,12.64,Skutterudite,0.0002
231.02,1.21,PbTe,0.00018
119.4,1.21,PbTe,0.00018
297.89,3.79,Bi2Te3,0.00022
237.02,14.75,Skutterudite,0.0002
74.03,8,Bi2Te3,0.00022
139.28,4.47,Skutterudite,0.0002
199.55,3.93,Bi2Te3,0.00022
237.55,14.18,Skutterudite,0.0002
97.42,12.54,Bi2Te3,0.00022
207.72,17.81,Bi2Te3,0.00022
124.99,18.29,PbTe,0.00018
188.6,10.61,Skutterudite,0.0002
95.49,4.64,Skutterudite,0.0002
80.31,4.93,PbTe,0.00018
257.99,2.18,Skutterudite,0.0002
101.68,14.72,Bi2Te3,0.00022
209.09,1.42,Bi2Te3,0.00022
201.38,5.46,PbTe,0.00018
294.64,18.81,PbTe,0.00018
220.26,11.56,PbTe,0.00018
245.56,3.31,PbTe,0.00018
264.9,18.03,Bi2Te3,0.00022
50.44,13.17,PbTe,0.00018
165.84,10.11,Skutterudite,0.0002
282.2,6.77,Bi2Te3,0.00022
95.05,9.21,PbTe,0.00018
143.02,8.49,PbTe,0.00018
191.55,3.83,Skutterudite,0.0002
109.09,15.57,Bi2Te3,0.00022
225.81,13.86,Bi2Te3,0.00022
208.7,15.08,Skutterudite,0.0002
146.48,16.71,Skutterudite,0.0002
276.31,19.08,Bi2Te3,0.00022
70.67,17.62,Skutterudite,0.0002
293.65,3.4,PbTe,0.00018
134.3,16.07,PbTe,0.00018
265.25,5.87,Skutterudite,0.0002
164.95,2.9,Bi2Te3,0.00022
293.54,4.8,Bi2Te3,0.00022
289.42,4.17,Skutterudite,0.0002
170.66,1.93,PbTe,0.00018
98.8,6.1,Skutterudite,0.0002
214.55,6.59,Skutterudite,0.0002
279.72,7.58,PbTe,0.00018
292.94,10.33,Skutterudite,0.0002
187.4,6.97,Skutterudite,0.0002
194.34,13.16,PbTe,0.00018
279.92,4.01,PbTe,0.00018
70.8,10.27,Bi2Te3,0.00022
235.48,16.28,Skutterudite,0.0002
105.99,12.24,PbTe,0.00018
64.4,5.44,Skutterudite,0.0002
89.88,14.05,Bi2Te3,0.00022
59.29,11.97,PbTe,0.00018
227.82,5.5,Skutterudite,0.0002
82.76,4.75,Bi2Te3,0.00022
252.2,19.62,Skutterudite,0.0002
264.24,3.1,Bi2Te3,0.00022
60.35,19.01,PbTe,0.00018
89.15,9.43,Skutterudite,0.0002
236.8,17.63,PbTe,0.00018
243.56,11.9,Bi2Te3,0.00022
80.86,19.91,Skutterudite,0.0002
182.69,6.13,Skutterudite,0.0002
116.03,12.6,Skutterudite,0.0002
56.96,1.88,PbTe,0.00018
71.32,3.39,PbTe,0.00018
156.96,19.47,Skutterudite,0.0002
111.85,11.88,PbTe,0.00018
88.95,16.32,Skutterudite,0.0002
119.94,5.55,PbTe,0.00018
161.31,5.33,PbTe,0.00018
141.74,12.82,PbTe,0.00018
252.63,14.25,PbTe,0.00018
190.36,17.48,PbTe,0.00018
132.85,9.51,PbTe,0.00018
280.47,6.49,Skutterudite,0.0002
115.2,2.15,PbTe,0.00018
139.53,12.03,PbTe,0.00018
235.52,1.75,Bi2Te3,0.00022
272.35,18.48,Skutterudite,0.0002
140.76,5.67,Bi2Te3,0.00022
99.12,16.89,Bi2Te3,0.00022
77.25,3.8,Bi2Te3,0.00022
103.21,15.17,Skutterudite,0.0002
60.36,5.07,Bi2Te3,0.00022
115.55,12.6,Bi2Te3,0.00022
87.58,16.84,PbTe,0.00018
285.25,7.45,PbTe,0.00018
249.37,1.32,PbTe,0.00018
297.23,6.34,PbTe,0.00018
64.55,19.13,Bi2Te3,0.00022
251.78,1.74,Skutterudite,0.0002
97.95,12.44,Bi2Te3,0.00022
265.54,3.26,PbTe,0.00018
217.16,6.76,Skutterudite,0.0002
206.84,9.71,Bi2Te3,0.00022
182.1,6.15,Bi2Te3,0.00022
82.77,17.68,Skutterudite,0.0002
206.9,1.73,Bi2Te3,0.00022
200.46,6.3,Bi2Te3,0.00022
105.03,17.71,PbTe,0.00018
207.83,2.68,PbTe,0.00018
192.2,7.61,PbTe,0.00018
226.31,6.11,PbTe,0.00018
85.59,14.26,Bi2Te3,0.00022
142.89,11.92,Bi2Te3,0.00022
174.87,10.66,Skutterudite,0.0002
151.97,6.22,PbTe,0.00018
199,11.91,PbTe,0.00018
263.25,9.68,Bi2Te3,0.00022
226.88,13.19,Bi2Te3,0.00022
283.79,14.81,Skutterudite,0.0002
146.99,16.02,Skutterudite,0.0002
74.27,13.79,PbTe,0.00018
166.27,16.02,PbTe,0.00018
211.37,7.36,Bi2Te3,0.00022
118.75,6.39,Skutterudite,0.0002
239.48,17.46,Skutterudite,0.0002
214.21,8.57,PbTe,0.00018
228.78,3.75,Bi2Te3,0.00022
104.65,18.71,Skutterudite,0.0002
159.3,6.15,Skutterudite,0.0002
50.84,2.95,Skutterudite,0.0002
286.1,14.67,Bi2Te3,0.00022
138.38,1.46,PbTe,0.00018
114.71,17.96,Bi2Te3,0.00022
167.7,16.93,Skutterudite,0.0002
88,10.89,Bi2Te3,0.00022
182.44,10.74,Skutterudite,0.0002
231.92,16.85,Bi2Te3,0.00022
215.82,2.68,Skutterudite,0.0002
288.35,7.37,PbTe,0.00018
234,17.16,PbTe,0.00018
137.89,14.84,Skutterudite,0.0002
295.16,7.21,Skutterudite,0.0002
118.23,19.2,PbTe,0.00018
279.54,1.88,Bi2Te3,0.00022
114.47,16.94,PbTe,0.00018
248.84,6.55,PbTe,0.00018
57.19,8.06,PbTe,0.00018
253.76,16.83,PbTe,0.00018
98.04,3.89,Bi2Te3,0.00022
170.7,5.09,Skutterudite,0.0002
295.25,2.11,Skutterudite,0.0002
180.25,13.39,Bi2Te3,0.00022
269.9,5.93,PbTe,0.00018
172.09,18.43,PbTe,0.00018
98.71,12.39,Skutterudite,0.0002
195.45,14.48,PbTe,0.00018
267.08,13.14,PbTe,0.00018
251.99,11.82,Bi2Te3,0.00022
102.25,1.23,PbTe,0.00018
101.27,7.86,Bi2Te3,0.00022
88.04,2.45,Skutterudite,0.0002
69.32,11.27,PbTe,0.00018
64.88,19.07,PbTe,0.00018
177.18,1.77,Bi2Te3,0.00022
281.6,7.44,Skutterudite,0.0002
251.75,10.43,Skutterudite,0.0002
216.56,18.28,Bi2Te3,0.00022
126.73,18.97,Skutterudite,0.0002
109.22,17.82,PbTe,0.00018
139.29,16.69,Bi2Te3,0.00022
82.06,13.23,PbTe,0.00018
85.55,9.96,Bi2Te3,0.00022
246.85,7.29,Bi2Te3,0.00022
209.05,14.47,Bi2Te3,0.00022
132.17,2.24,Bi2Te3,0.00022
113.24,1.82,Skutterudite,0.0002
124.75,8.81,PbTe,0.00018
289.57,16.85,PbTe,0.00018
196.6,4.26,PbTe,0.00018
250.28,8.84,PbTe,0.00018
191.4,11.5,Skutterudite,0.0002
252.61,1.3,PbTe,0.00018
79.95,17.9,Skutterudite,0.0002
65.1,8.05,Bi2Te3,0.00022
138,10.64,PbTe,0.00018
152.95,8.57,PbTe,0.00018
262.77,15.55,Bi2Te3,0.00022
236.15,7.04,Skutterudite,0.0002
289.67,10.25,Bi2Te3,0.00022
107.08,14.77,PbTe,0.00018
129.3,16.93,Bi2Te3,0.00022
293.19,13.46,Skutterudite,0.0002
57.85,18.61,PbTe,0.00018
180.3,13.19,Skutterudite,0.0002
87.3,13.04,Bi2Te3,0.00022
274.15,3.54,Skutterudite,0.0002
270.77,3.54,Skutterudite,0.0002
78.74,6.34,Bi2Te3,0.00022
64.3,4.23,Bi2Te3,0.00022
68.32,3.2,Bi2Te3,0.00022
286.46,6.58,PbTe,0.00018
213.74,9.3,Bi2Te3,0.00022
269.79,16.48,Bi2Te3,0.00022
281.98,13.19,PbTe,0.00018
152.38,19.73,PbTe,0.00018
209.94,19.13,Skutterudite,0.0002
272.74,14.32,Skutterudite,0.0002
108.43,5.78,Bi2Te3,0.00022
